group,language,birth_date,sex,country,work_place,Creazione della Safety Vision,Costante focalizzazione sulla sicurezza,Influenzare ed ispirare gli altri,Credibilità e affidabilità,Orientamento al Team,Comunicazione efficace,Feedback e riconoscimento
1,en,2001-12-11 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,54,45,53,70,77,66,30
1,en,2004-12-06 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,40,42,43,70,49,63,53
1,it,2005-08-30 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,37,48,70,67,60,51,27
1,en,2006-01-22 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,51,57,43,43,86,54,63
1,en,2024-12-12 00:00:00,Maschio,ITALIA,Cantiere o sito operativo,31,50,37,57,94,46,60
1,it,1997-06-16 00:00:00,Femmina,ITALIA,Ufficio,54,68,57,27,51,46,37
1,en,2001-03-04 00:00:00,Femmina,ITALIA,Ufficio,34,55,43,77,80,51,27
1,en,1984-04-24 00:00:00,Femmina,ITALIA,Ufficio,40,52,53,57,46,77,43
2,en,1986-07-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,60,35,37,40,80,69,70
2,en,1986-03-05 00:00:00,Maschio,AZERBAIGIAN,Ufficio,66,25,60,33,51,40,63
2,en,1984-12-16 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1995-10-26 00:00:00,Femmina,AZERBAIGIAN,Ufficio,14,68,43,53,74,69,37
2,en,1979-06-10 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1979-06-10 00:00:00,Maschio,AZERBAIGIAN,Ufficio,57,45,37,70,66,66,47
2,en,1974-11-20 00:00:00,Maschio,AZERBAIGIAN,Altro,40,50,57,53,83,34,57
2,en,1990-12-13 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1973-10-15 00:00:00,Maschio,OLANDA,Ufficio,74,48,47,53,80,49,60
2,en,1974-10-07 00:00:00,Maschio,AZERBAIGIAN,Ufficio,31,57,37,87,80,74,53
2,en,1991-01-01 00:00:00,Maschio,AZERBAIGIAN,Ufficio,9,28,10,13,43,37,7
2,it,1990-12-13 00:00:00,Maschio,AZERBAIGIAN,Ufficio,40,57,60,60,66,54,57
2,en,1984-12-16 00:00:00,Maschio,AZERBAIGIAN,Ufficio,51,32,30,53,37,77,70
2,en,1977-06-16 00:00:00,Femmina,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1994-12-14 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1994-09-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1983-03-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1979-11-19 00:00:00,Maschio,AZERBAIGIAN,Ufficio,60,57,53,77,49,26,47
2,en,1983-03-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,46,35,40,70,86,37,53
2,en,1973-03-29 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1982-04-20 00:00:00,Maschio,AZERBAIGIAN,Ufficio,37,40,47,50,91,60,53
2,en,1991-01-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1973-03-29 00:00:00,Maschio,AZERBAIGIAN,Ufficio,0,0,0,0,0,0,0
2,en,1975-10-10 00:00:00,Maschio,AZERBAIGIAN,Cantiere o sito operativo,74,40,70,80,89,31,27
2,en,1977-08-16 00:00:00,Femmina,AZERBAIGIAN,Ufficio,51,60,63,70,77,31,63
2,en,1988-01-11 00:00:00,Maschio,AZERBAIGIAN,Ufficio,74,65,60,33,37,40,67
2,en,1994-12-14 00:00:00,Maschio,AZERBAIGIAN,Ufficio,54,40,47,53,60,60,60
2,en,1994-09-18 00:00:00,Maschio,AZERBAIGIAN,Ufficio,37,68,43,60,29,74,70
2,en,1991-10-21 00:00:00,Femmina,AZERBAIGIAN,Ufficio,40,25,80,53,57,51,57
2,en,1990-04-12 00:00:00,Femmina,AZERBAIGIAN,Ufficio,29,62,53,93,83,43,30
2,en,1982-09-13 00:00:00,Maschio,AZERBAIGIAN,Ufficio,94,42,37,80,57,63,17
